         31394 function calls (31360 primitive calls) in 99.534 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 Bobs.py:78(__init__)
        1    0.000    0.000    1.061    1.061 env.py:272(wrapper)
      149    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       23    0.000    0.000    0.000    0.000 __init__.py:1542(isEnabledFor)
       23    0.000    0.000    0.000    0.000 __init__.py:1528(getEffectiveLevel)
        4    0.000    0.000    0.000    0.000 Bob.py:11(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:743(get_code)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
        1    0.000    0.000    0.001    0.001 env.py:219(defenv)
      4/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:641(_load_unlocked)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:958(_find_and_load)
        1    0.000    0.000    0.001    0.001 env.py:171(__enter__)
        1    0.000    0.000    1.719    1.719 gdal_array.py:310(BandReadAsArray)
        1    0.000    0.000    0.000    0.000 arrayprint.py:208(_leading_trailing)
        1    0.000    0.000    0.000    0.000 env.py:90(__init__)
        1    0.000    0.000    0.000    0.000 {method 'clear_config_options' of 'rasterio._env.ConfigEnv' objects}
        1    0.000    0.000    0.000    0.000 uuid.py:106(__init__)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
       23    0.000    0.000    0.000    0.000 __init__.py:1284(debug)
        1    0.000    0.000    0.000    0.000 dtypes.py:88(get_minimum_dtype)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 collection.py:398(close)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.000    0.000 env.py:255(delenv)
        2    0.000    0.000    0.000    0.000 {built-in method rasterio._env.get_gdal_config}
        1    0.000    0.000    0.000    0.000 imp.py:254(find_module)
        1    0.000    0.000    0.000    0.000 Bob.py:21(__repr__)
        1    0.000    0.000    0.117    0.117 fromnumeric.py:55(_wrapfunc)
        7    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        9    0.000    0.000    0.000    0.000 ntpath.py:121(splitdrive)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.seterrobj}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:77(acquire)
        1    0.000    0.000    0.000    0.000 {method 'update_config_options' of 'rasterio._env.ConfigEnv' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        9    0.000    0.000    0.000    0.000 numeric.py:3085(__init__)
        1    0.000    0.000    0.000    0.000 env.py:200(__exit__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    1.721    1.721 gdal.py:2520(ReadAsArray)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        4    0.000    0.000    0.000    0.000 ntpath.py:74(join)
        1    0.000    0.000    0.051    0.051 __init__.py:90(open)
        6    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        3    0.000    0.000    0.001    0.000 arrayprint.py:713(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:182(scale)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:146(__enter__)
        1    0.000    0.000    0.003    0.003 Bobs.py:23(__init__)
        1    0.000    0.000    0.117    0.117 fromnumeric.py:1471(nonzero)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        9    0.000    0.000    0.000    0.000 numeric.py:3089(__enter__)
        1    0.000    0.000   97.582   97.582 Primitive.py:34(__gt__)
       13    0.000    0.000    0.000    0.000 numeric.py:534(asanyarray)
        1    0.000    0.000    0.000    0.000 uuid.py:600(uuid4)
        9    0.000    0.000    0.000    0.000 numeric.py:3094(__exit__)
        1    0.000    0.000    0.001    0.001 gdal_array.py:13(swig_import_helper)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(__exit__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       36    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.geterrobj}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:102(release)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:1364(ravel)
        1    0.000    0.000    0.000    0.000 gdal.py:1842(GetGeoTransform)
        3    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 gdal.py:39(_swig_setattr_nondynamic)
        1    0.000    0.000    0.000    0.000 transform.py:34(from_origin)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        3    0.000    0.000    0.000    0.000 arrayprint.py:730(__init__)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        3    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.001    0.001 imp.py:330(load_dynamic)
        1    0.000    0.000    0.000    0.000 uuid.py:226(__str__)
        1    0.000    0.000    0.000    0.000 collection.py:173(guard_driver_mode)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:57(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
