Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..process.py:153 SpawnProcess.daemon  4      0.000000  0.000000  0.000000
..al.py:1842 Dataset.GetGeoTransform  1      0.000000  0.000000  0.000000
..lib\os.py:664 _Environ.__getitem__  3      0.000000  0.000000  0.000000
..nda3\lib\hmac.py:108 HMAC._current  22     0.000000  0.000000  0.000000
.._bootstrap>:493 _init_module_attrs  10     0.000000  0.000000  0.000000
..ng\managers.py:677 ProcessLocalSet  2      0.000000  0.000000  0.000000
..ib\multiprocessing\util.py:52 info  1      0.000000  0.000000  0.000000
..\osgeo\gdal_array.py:94 VirtualMem  2      0.000000  0.000000  0.000000
..mportlib._bootstrap>:307 <genexpr>  40     0.000000  0.000000  0.000000
..rocessing\synchronize.py:333 Event  26     0.000000  0.000000  0.000000
..naconda3\lib\imp.py:107 <listcomp>  1      0.000000  0.000000  0.000000
..g\synchronize.py:162 Lock.__init__  2      0.000000  0.000000  0.000000
..llection.py:32 Collection.__init__  1      0.000000  0.000000  0.000000
..portlib._bootstrap>:861 _find_spec  9      0.000000  0.000000  0.000000
..t\engines\Engine.py:316 <listcomp>  1      0.000000  0.000000  0.000000
..eduction.py:102 DupHandle.__init__  17     0.000000  0.000000  0.000000
..init__.py:1537 Logger.isEnabledFor  5      0.000000  0.000000  0.000000
..._bootstrap>:389 ModuleSpec.cached  17     0.000000  0.000000  0.000000
..st\bobs\Bobs.py:41 Raster.get_data  2      0.000000  0.000000  0.000000
..gging\__init__.py:120 getLevelName  1      0.000000  0.000000  0.000000
..reading.py:1120 _MainThread.daemon  3      0.000000  0.000000  0.000000
..sing\managers.py:57 Token.__init__  2      0.000000  0.000000  0.000000
..b\logging\__init__.py:152 <lambda>  1      0.000000  0.000000  0.000000
..b._bootstrap>:159 _get_module_lock  10     0.000000  0.000000  0.000000
..processing\managers.py:74 dispatch  10     0.000000  0.000000  0.000000
..tiprocessing\spawn.py:87 <genexpr>  15     0.000000  0.000000  0.000000
..sing\managers.py:887 MakeProxyType  6      0.000000  0.000000  0.000000
..ocessing\pool.py:147 Pool.__init__  1      0.000000  0.000000  0.000000
..mportlib._bootstrap>:771 find_spec  9      0.000000  0.000000  0.000000
..lection.py:311 Collection.__iter__  1      0.000000  0.000000  0.000000
..aconda3\lib\imp.py:254 find_module  1      0.000000  0.000000  0.000000
..:218 GDALTypeCodeToNumericTypeCode  1      0.000000  0.000000  0.000000
..el\iostream.py:361 OutStream.write  464    0.000000  0.000000  0.000000
..142 PipeConnection._check_writable  55     0.000000  0.000000  0.000000
..\pool.py:59 ExceptionWithTraceback  1      0.000000  0.000000  0.000000
..ipstruct.py:125 Struct.__getattr__  2      0.000000  0.000000  0.000000
..es.py:334 SimpleQueue.__getstate__  8      0.000000  0.000000  0.000000
..naconda3\lib\ntpath.py:43 normcase  1      0.000000  0.000000  0.000000
...py:327 ForkAwareThreadLock._reset  1      0.000000  0.000000  0.000000
..sing\process.py:35 current_process  15     0.000000  0.000000  0.000000
.._bootstrap>:77 _ModuleLock.acquire  10     0.000000  0.000000  0.000000
..onda3\lib\genericpath.py:16 exists  3      0.000000  0.000000  0.000000
..connection.py:69 arbitrary_address  3      0.000000  0.000000  0.000000
..ore\arrayprint.py:340 array2string  50     0.000000  0.000000  0.000000
..processing\synchronize.py:160 Lock  1      0.000000  0.000000  0.000000
..es\osgeo\gdal_array.py:11 <module>  1      0.000000  0.000000  0.000000
..\lib\threading.py:828 Thread.start  3      0.000000  0.000000  0.000000
..\lib\threading.py:966 Thread._stop  3      0.000000  0.000000  0.000000
..sing\util.py:167 Finalize.__call__  9      0.000000  0.000000  0.000000
..ltiprocessing\util.py:44 sub_debug  9      0.000000  0.000000  0.000000
..cessing\synchronize.py:372 Barrier  1      0.000000  0.000000  0.000000
..da3\lib\tempfile.py:160 <listcomp>  5      0.000000  0.000000  0.000000
..essing\queues.py:278 JoinableQueue  3      0.000000  0.000000  0.000000
..nchronize.py:91 Lock._make_methods  2      0.000000  0.000000  0.000000
..ing\pool.py:627 MapResult.__init__  1      0.000000  0.000000  0.000000
..collection.py:398 Collection.close  2      0.000000  0.000000  0.000000
..nal>:430 _validate_bytecode_header  8      0.000000  0.000000  0.000000
..cessing\pool.py:598 MapResult.wait  1      0.000000  0.000000  0.000000
..sing\managers.py:969 IteratorProxy  2      0.000000  0.000000  0.000000
.._bootstrap_external>:626 find_spec  9      0.000000  0.000000  0.000000
..queues.py:322 SimpleQueue.__init__  2      0.000000  0.000000  0.000000
..sing\popen_spawn_win32.py:26 Popen  2      0.000000  0.000000  0.000000
..rocessing\reduction.py:43 register  4      0.000000  0.000000  0.000000
..reading.py:254 Condition._is_owned  12     0.000000  0.000000  0.000000
..aconda3\lib\weakref.py:305 __new__  5      0.000000  0.000000  0.000000
..bootstrap_external>:1117 _get_spec  9      0.000000  0.000000  0.000000
..ootstrap_external>:94 _path_isfile  9      0.000000  0.000000  0.000000
..ion.py:163 PipeConnection.writable  34     0.000000  0.000000  0.000000
..ap_external>:85 _path_is_mode_type  9      0.000000  0.000000  0.000000
..xternal>:1228 FileFinder._get_spec  9      0.000000  0.000000  0.000000
..sing\pool.py:76 MaybeEncodingError  1      0.000000  0.000000  0.000000
..e-packages\osgeo\gdal.py:3009 Open  1      0.000000  0.000000  0.000000
..da3\lib\queue.py:27 Queue.__init__  1      0.000000  0.000000  0.000000
..rocessing\pool.py:666 IMapIterator  1      0.000000  0.000000  0.000000
..ction.py:276 PipeConnection._close  16     0.000000  0.000000  0.000000
..ging\__init__.py:698 Logger.filter  3      0.000000  0.000000  0.000000
..ssing\managers.py:1130 SyncManager  1      0.000000  0.000000  0.000000
..\Anaconda3\lib\os.py:726 check_str  3      0.000000  0.000000  0.000000
..\Anaconda3\lib\os.py:732 encodekey  3      0.000000  0.000000  0.000000
..b._bootstrap>:208 _verbose_message  55     0.000000  0.000000  0.000000
..iprocessing\pool.py:495 Pool.close  1      0.000000  0.000000  0.000000
..>:146 _ModuleLockManager.__enter__  10     0.000000  0.000000  0.000000
..78 AuthenticationString.__reduce__  11     0.000000  0.000000  0.000000
..sgeo\gdal.py:1796 Dataset.<lambda>  1      0.000000  0.000000  0.000000
..>:834 _ImportLockContext.__enter__  36     0.000000  0.000000  0.000000
..\lib\_weakrefset.py:81 WeakSet.add  8      0.000000  0.000000  0.000000
..sing\util.py:151 Finalize.__init__  9      0.000000  0.000000  0.000000
..b\threading.py:1226 current_thread  19     0.000000  0.000000  0.000000
..tion.py:130 PipeConnection.__del__  16     0.000000  0.000000  0.000000
..ltiprocessing\spawn.py:11 <module>  1      0.000000  0.000000  0.000000
..nal>:800 SourceFileLoader.__init__  8      0.000000  0.000000  0.000000
..b._bootstrap>:553 module_from_spec  10     0.000000  0.000000  0.000000
..rs.py:780 AutoProxy[Queue]._incref  2      0.000000  0.000000  0.000000
..\pool.py:219 Pool._repopulate_pool  1      0.000000  0.000000  0.000000
..sing\queues.py:347 SimpleQueue.put  2      0.000000  0.000000  0.000000
..t\engines\Engine.py:318 <listcomp>  1      0.000000  0.000000  0.000000
..ing\pool.py:242 Pool._setup_queues  1      0.000000  0.000000  0.000000
..bootstrap>:355 ModuleSpec.__init__  10     0.000000  0.000000  0.000000
..s\fiona\collection.py:486 vsi_path  1      0.000000  0.000000  0.000000
..cessing\spawn.py:45 get_executable  5      0.000000  0.000000  0.000000
..til.py:340 ForkAwareLocal.__init__  1      0.000000  0.000000  0.000000
..ream.py:89 IOPubThread._event_pipe  469    0.000000  0.000000  0.000000
.._bootstrap_external>:57 _path_join  41     0.000000  0.000000  0.000000
..__init__.py:845 NullHandler.handle  2      0.000000  0.000000  0.000000
..aconda3\lib\ntpath.py:233 basename  1      0.000000  0.000000  0.000000
..hreading.py:215 Condition.__init__  7      0.000000  0.000000  0.000000
..ssing\synchronize.py:124 Semaphore  1      0.000000  0.000000  0.000000
..onda3\lib\hmac.py:26 HMAC.__init__  20     0.000000  0.000000  0.000000
..hreading.py:242 Condition.__exit__  9      0.000000  0.000000  0.000000
..y:134 PipeConnection._check_closed  125    0.000000  0.000000  0.000000
..._bootstrap>:402 ModuleSpec.parent  58     0.000000  0.000000  0.000000
..conda3\lib\imp.py:105 get_suffixes  1      0.000000  0.000000  0.000000
..nection.py:246 PipeConnection.recv  21     0.000000  0.000000  0.000000
..sing\managers.py:983 AcquirerProxy  1      0.000000  0.000000  0.000000
..ngs\__init__.py:71 search_function  1      0.000000  0.000000  0.000000
..naconda3\lib\ntpath.py:538 abspath  1      0.000000  0.000000  0.000000
..cessing\managers.py:1120 PoolProxy  1      0.000000  0.000000  0.000000
..:332 ForkAwareThreadLock.__enter__  2      0.000000  0.000000  0.000000
..ssing\connection.py:679 PipeClient  10     0.000000  0.000000  0.000000
..onnection.py:716 deliver_challenge  10     0.000000  0.000000  0.000000
..ng\util.py:136 register_after_fork  5      0.000000  0.000000  0.000000
..s.py:735 AutoProxy[Queue]._connect  1      0.000000  0.000000  0.000000
..multiprocessing\queues.py:34 Queue  1      0.000000  0.000000  0.000000
.._init__.py:802 NullHandler.acquire  2      0.000000  0.000000  0.000000
..p>:297 _installed_safely.__enter__  10     0.000000  0.000000  0.000000
..conda3\lib\imp.py:330 load_dynamic  1      0.000000  0.000000  0.000000
..ing\connection.py:59 _init_timeout  10     0.000000  0.000000  0.000000
..y:323 ForkAwareThreadLock.__init__  1      0.000000  0.000000  0.000000
..ib\random.py:222 Random._randbelow  40     0.000000  0.000000  0.000000
..__init__.py:246 LogRecord.__init__  1      0.000000  0.000000  0.000000
...py:294 PipeConnection._recv_bytes  51     0.000000  0.000000  0.000000
..iprocessing\managers.py:125 Server  2      0.000000  0.000000  0.000000
..s\osgeo\gdal.py:2205 Band.<lambda>  1      0.000000  0.000000  0.000000
..InteractiveShell.pre_run_code_hook  2      0.000000  0.000000  0.000000
..tiprocessing\pool.py:625 MapResult  1      0.000000  0.000000  0.000000
..\osgeo\gdal_array.py:194 flip_code  2      0.000000  0.000000  0.000000
..st\bobs\Bobs.py:50 Vector.__init__  1      0.000000  0.000000  0.000000
...py:232 DefaultContext.get_context  2      0.000000  0.000000  0.000000
..ocessing\managers.py:511 <genexpr>  2      0.000000  0.000000  0.000000
..:213 NumericTypeCodeToGDALTypeCode  1      0.000000  0.000000  0.000000
..p>:142 _ModuleLockManager.__init__  10     0.000000  0.000000  0.000000
..nagers.py:464 SyncManager.__init__  1      0.000000  0.000000  0.000000
..iprocessing\process.py:52 _cleanup  5      0.000000  0.000000  0.000000
..um\Anaconda3\lib\ntpath.py:74 join  9      0.000000  0.000000  0.000000
.._bootstrap_external>:59 <listcomp>  41     0.000000  0.000000  0.000000
..\bobs\Bobs.py:84 KeyValue.__init__  2      0.000000  0.000000  0.000000
..ollection.py:383 Collection.bounds  5      0.000000  0.000000  0.000000
..cessing\managers.py:1088 ListProxy  1      0.000000  0.000000  0.000000
..processing\process.py:83 <genexpr>  10     0.000000  0.000000  0.000000
..rocessing\managers.py:633 register  17     0.000000  0.000000  0.000000
..mpy\core\numeric.py:1835 array_str  50     0.000000  0.000000  0.000000
..onda3\lib\ntpath.py:121 splitdrive  22     0.000000  0.000000  0.000000
..y:23 ShapefileNewReadPrim.__repr__  13     0.000000  0.000000  0.000000
..ocessing\managers.py:687 BaseProxy  1      0.000000  0.000000  0.000000
..ib._bootstrap_external>:52 _r_long  16     0.000000  0.000000  0.000000
..\Anaconda3\lib\hmac.py:52 <lambda>  40     0.000000  0.000000  0.000000
..threading.py:1076 _MainThread.name  4      0.000000  0.000000  0.000000
..aconda3\lib\tempfile.py:384 mktemp  3      0.000000  0.000000  0.000000
..strap_external>:604 _open_registry  9      0.000000  0.000000  0.000000
.._optim_args_from_interpreter_flags  5      0.000000  0.000000  0.000000
..stream.py:180 IOPubThread.schedule  469    0.000000  0.000000  0.000000
..op.py:132 CachingCompiler.__call__  2      0.000000  0.000000  0.000000
..bootstrap>:102 _ModuleLock.release  10     0.000000  0.000000  0.000000
..n.py:181 PipeConnection.send_bytes  32     0.000000  0.000000  0.000000
..ocessing\queues.py:320 SimpleQueue  1      0.000000  0.000000  0.000000
..naconda3\lib\weakref.py:108 remove  4      0.000000  0.000000  0.000000
..t\engines\Engine.py:317 <listcomp>  1      0.000000  0.000000  0.000000
..mpfile.py:235 _get_candidate_names  3      0.000000  0.000000  0.000000
..b\multiprocessing\pool.py:138 Pool  1      0.000000  0.000000  0.000000
